city,province,zip
Beijing,Beijing,100000
Shanghai,Shanghai,200000
Tianjin,Tianjin,300000
Chongqing,Chongqing,400000
Hong Kong,Hong Kong,999077
Macau,Macau,999078
Taiwan,Taiwan,000222
Hefei,Anhui,230000
Anqing,Anhui,246000
Bengbu,Anhui,233000
Chaohu,Anhui,238000
Chizhou,Anhui,247100
Chuzhou,Anhui,239000
Fuyang,Anhui,236000
Haozhou,Anhui,236000
Huaibei,Anhui,235000
Huainan,Anhui,232000
Huangshan,Anhui,245000
Liuan,Anhui,237000
Ma'anshan,Anhui,243000
Suzhou,Anhui,234000
Tongling,Anhui,244000
Wuhu,Anhui,241000
Xuancheng,Anhui,242000
Fuzhou,Fujian,350000
Longyan,Fujian,364000
Nanping,Fujian,353000
Ningde,Fujian,352000
Putian,Fujian,351100
Quanzhou,Fujian,362000
Sanming,Fujian,365000
Xiamen,Fujian,361000
Zhangzhou,Fujian,363000
Lanzhou,Gansu,730000
Baiyin,Gansu,730900
Dingxi,Gansu,743000
Gan'nan,Gansu,747000
Jiayuguan,Gansu,735100
Jinchang,Gansu,737100
Jiuquan,Gansu,735000
Longnan,Gansu,742500
Linxia,Gansu,731100
Pingliang,Gansu,744000
Qingyang,Gansu,745000
Tianshui,Gansu,741000
Wuwei,Gansu,733000
Zhangye,Gansu,734000
Guangzhou,Guangdong,510000
Chaozhou,Guangdong,521000
Dongguan,Guangdong,523000
Foshan,Guangdong,528000
Heyuan,Guangdong,517000
Huizhou,Guangdong,516000
Jiangmen,Guangdong,529000
Jieyang,Guangdong,522000
Maoming,Guangdong,525000
Meizhou,Guangdong,514000
Qingyuan,Guangdong,511500
Shantou,Guangdong,515000
Shaoguan,Guangdong,512000
Shanwei,Guangdong,516600
Shenzhen,Guangdong,518000
Yangjiang,Guangdong,529500
Yunfu,Guangdong,527300
Zhanjiang,Guangdong,524000
Zhaoqing,Guangdong,526000
Zhuhai,Guangdong,519000
Nanning,Guangxi,530000
Beihai,Guangxi,536000
Baise,Guangxi,533000
Chongzuo,Guangxi,532200
Fangchenggang,Guangxi,538000
Guigang,Guangxi,537000
Guilin,Guangxi,541000
Hechi,Guangxi,547000
Hezhou,Guangxi,542800
Liuzhou,Guangxi,545000
Laibin,Guangxi,546100
Qinzhou,Guangxi,535000
Wuzhou,Guangxi,543000
Yulin,Guangxi,537000
Guiyang,Guizhou,550000
Anshun,Guizhou,561000
Bijie,Guizhou,551700
Duyun,Guizhou,558000
Kaili,Guizhou,556000
Liupanshui,Guizhou,553000
Tongren,Guizhou,554300
Xingyi,Guizhou,562400
Zunyi,Guizhou,563000
Haikou,Hainan,570100
Sanya,Hainan,572000
Shijiazhuang,Hebei,050000
Baoding,Hebei,071000
Cangzhou,Hebei,061000
Chengde,Hebei,067000
Handan,Hebei,056000
Hengshui,Hebei,053000
Langfang,Hebei,065000
Qinhuangdao,Hebei,066000
Tangshan,Hebei,063000
Xingtai,Hebei,054000
Zhangjiakou,Hebei,075000
Harbin,Helongjiang,150000
Daqing,Helongjiang,163000
Daxing'anling,Helongjiang,165000
Hegang,Helongjiang,154100
Heihe,Helongjiang,164300
Jiamusi,Helongjiang,154000
Jixi,Helongjiang,158100
Mudanjiang,Helongjiang,157000
Qiqihar,Helongjiang,161000
Qitaihe,Helongjiang,154600
Shuangyashan,Helongjiang,155100
Suihua,Helongjiang,152000
Yichun,Helongjiang,153000
Zhengzhou,Henan,450000
Anyang,Henan,455000
Hebi,Henan,458000
Jiaozuo,Henan,454150
Kaifeng,Henan,475000
Luohe,Henan,462000
Luoyang,Henan,471000
Nanyang,Henan,473000
Pingdingshan,Henan,467000
Puyang,Henan,457000
Sanmenxia,Henan,472000
Shangqiu,Henan,476000
Xinxiang,Henan,453000
Xinyang,Henan,464000
Xuchang,Henan,461000
Zhoukou,Henan,466000
Zhumadian,Henan,463000
Wuhan,Hubei,430000
Enshi,Hubei,445000
Ezhou,Hubei,436000
Huanggang,Hubei,438000
Huangshi,Hubei,435000
Jingmen,Hubei,448000
Jingzhou,Hubei,434000
Qianjiang,Hubei,433100
Shiyan,Hubei,442000
Suizhou,Hubei,441300
Tianmen,Hubei,431700
Xiangfan,Hubei,441000
Xiaogan,Hubei,432000
Xianning,Hubei,437000
Xiantao,Hubei,433000
Yichang,Hubei,443000
Changsha,Hunan,410000
Changde,Hunan,415000
Chenzhou,Hunan,423000
Hengyang,Hunan,421000
Huaihua,Hunan,418000
Jishou,Hunan,416000
Loudi,Hunan,417000
Shaoyang,Hunan,422000
Xiangtan,Hunan,411100
Yiyang,Hunan,413000
Yongzhou,Hunan,425000
Yueyang,Hunan,414000
Zhangjiajie,Hunan,427000
Zhuzhou,Hunan,412000
Hohhot,Inner Mongolia,010000
Alashan,Inner Mongolia,750300
Baotou,Inner Mongolia,014000
Bayannao'er,Inner Mongolia,015000
Chifeng,Inner Mongolia,024000
Erenhot,Inner Mongolia,012600
Hulunbei'er,Inner Mongolia,021000
Odors,Inner Mongolia,017000
Tongliao,Inner Mongolia,028000
Ulanhot,Inner Mongolia,137000
Wuhai,Inner Mongolia,016000
Wulanchabu,Inner Mongolia,012000
Nanjing,Jiangsu,210000
Changzhou,Jiangsu,213000
Huai'an,Jiangsu,223001
Lianyungang,Jiangsu,222000
Nantong,Jiangsu,226000
Suqian,Jiangsu,223800
Suzhou,Jiangsu,215000
Taizhou,Jiangsu,225300
Wuxi,Jiangsu,214000
Xuzhou,Jiangsu,221000
Yancheng,Jiangsu,224000
Yangzhou,Jiangsu,225000
Zhenjiang,Jiangsu,212000
Nanchang,Jiangxi,330000
Fuzhou,Jiangxi,344000
Ganzhou,Jiangxi,341000
Ji'an,Jiangxi,343000
Jingdezhen,Jiangxi,333000
Jiujiang,Jiangxi,332000
Pingxiang,Jiangxi,337000
Shangrao,Jiangxi,334000
Xinyu,Jiangxi,336500
Yichun,Jiangxi,336000
Yingtan,Jiangxi,335000
Changchun,Jilin,130000
Baicheng,Jilin,137000
Baishan,Jilin,134300
Jilin,Jilin,132000
Liaoyuan,Jilin,136200
Siping,Jilin,136000
Songyuan,Jilin,138000
Tonghua,Jilin,134000
Yanji,Jilin,133000
Shenyang,Liaoning,110000
Anshan,Liaoning,114000
Benxi,Liaoning,117000
Chaoyang,Liaoning,122000
Dalian,Liaoning,116000
Dandong,Liaoning,118000
Fushun,Liaoning,113000
Fuxin,Liaoning,123000
Huludao,Liaoning,125000
Jinzhou,Liaoning,121000
Liaoyang,Liaoning,111000
Panjin,Liaoning,124000
Tieling,Liaoning,112000
Yingkou,Liaoning,115000
Yinchuan,Ningxia,750000
Guyuan,Ningxia,756000
Shizuishan,Ningxia,753000
Wuzhong,Ningxia,751100
Zhongwei,Ningxia,751700
Xining,Qinghai,810000
Delingha,Qinghai,817000
Golmud,Qinghai,816000
Xian,Shaanxi,710000
Ankang,Shaanxi,725000
Baoji,Shaanxi,721000
Hanzhong,Shaanxi,723000
Shangluo,Shaanxi,726000
Tongchuan,Shaanxi,727000
Weinan,Shaanxi,714000
Xianyang,Shaanxi,712000
Yan'an,Shaanxi,716000
Yulin,Shaanxi,719000
Jinan,Shandong,250000
Binzhou,Shandong,256600
Dezhou,Shandong,253000
Dongying,Shandong,257000
Heze,Shandong,274000
Jining,Shandong,272000
Laiwu,Shandong,271100
Liaocheng,Shandong,252000
Linyi,Shandong,276000
Qingdao,Shandong,266000
Rizhao,Shandong,276800
Tai'an,Shandong,271000
Weifang,Shandong,261000
Weihai,Shandong,264200
Yantai,Shandong,264000
Zaozhuang,Shandong,277000
Zibo,Shandong,255000
Taiyuan,Shanxi,030000
Changzhi,Shanxi,046000
Datong,Shanxi,037000
Jincheng,Shanxi,048000
Jinzhong,Shanxi,038000
Linfen,Shanxi,041000
Lvliang,Shanxi,033000
Shuozhou,Shanxi,038500
Xinzhou,Shanxi,034000
Yuncheng,Shanxi,044000
Yangquan,Shanxi,450000
Chengdu,Sichuan,610000
Aba,Sichuan,624000
Bazhong,Sichuan,636600
Dazhou,Sichuan,635000
Deyang,Sichuan,618000
Ganzi,Sichuan,626000
Guang'an,Sichuan,638500
Guangyuan,Sichuan,628000
Leshan,Sichuan,614000
Liangshan,Sichuan,615000
Luzhou,Sichuan,646000
Meishan,Sichuan,620000
Mianyang,Sichuan,621000
Nanchong,Sichuan,637000
Neijiang,Sichuan,641000
Panzhihua,Sichuan,617000
Suining,Sichuan,629000
Ya'an,Sichuan,625000
Yibin,Sichuan,644000
Zigong,Sichuan,643000
Ziyang,Sichuan,641300
Lhasa,Tibet,850000
Chamdo,Tibet,854000
Nakchu,Tibet,852000
Ngari,Tibet,859000
Nyingchi,Tibet,860000
Shannan,Tibet,856000
Shigatse,Tibet,857000
Urumqi,Xinjiang,830000
Aksu,Xinjiang,843000
Hami,Xinjiang,839000
Hetian,Xinjiang,848000
Ili,Xinjiang,835000
Karamay,Xinjiang,834000
Kashgar,Xinjiang,844000
Shihezi,Xinjiang,832000
Turpan,Xinjiang,838000
Kunming,Yunnan,650000
Baoshan,Yunnan,678000
Chuxiong,Yunnan,675000
Dali,Yunnan,671000
Gejiu,Yunnan,661000
Lijiang,Yunnan,674100
Lincang,Yunnan,677000
Lushui,Yunnan,673200
Pu'er,Yunnan,665000
Qujing,Yunnan,655000
Ruili,Yunnan,678600
Shangri-la,Yunnan,674400
Wenshan,Yunnan,663000
Xishuangbanna,Yunnan,666100
Yuxi,Yunnan,653100
Hangzhou,Zhejiang,310000
Huzhou,Zhejiang,313000
Jiaxing,Zhejiang,314000
Jinhua,Zhejiang,321000
Lishui,Zhejiang,323000
Ningbo,Zhejiang,315000
Quzhou,Zhejiang,324000
Shaoxing,Zhejiang,312000
Taizhou,Zhejiang,318000
Wenzhou,Zhejiang,325000
Zhoushan,Zhejiang,316000
